,date,Open,High,Low,Close,Volume,up/down,Sentiment,true_value
6038,2003-12-01,-0.0970715699347003,-0.09847586330111513,-0.0976212451908114,-0.09266554611025066,-0.2390309295987265,1,1.5554555981594607,-1
6039,2003-12-02,-0.08512816545404629,-0.09772279826076707,-0.09049385864410317,-0.09619812858026572,-0.2345946494282312,-1,1.694696051155796,-1
6040,2003-12-03,-0.08863503757504375,-0.09463021116173788,-0.09109288400913984,-0.09810572311407374,-0.20294557748018566,-1,1.681932806388423,1
6041,2003-12-04,-0.09052874852038224,-0.09857627197316167,-0.09259552390787608,-0.09306926982110937,-0.19136796825474672,1,1.6575631445714674,-1
6042,2003-12-05,-0.08552895083930301,-0.09922892834146316,-0.09570233342823622,-0.10136579207925912,-0.29805509625738924,-1,1.5551669854999532,1
6043,2003-12-08,-0.09376509050633132,-0.09935945961512363,-0.0948494837559804,-0.09349317971751127,-0.3234825557712037,1,1.5805257416778384,-1
6044,2003-12-09,-0.08594977549382278,-0.09699985582203297,-0.09664655985109057,-0.1026980803250933,-0.19006954479021151,-1,1.548120383047778,-1
6045,2003-12-10,-0.09508768227767887,-0.1059563093685724,-0.1024845189171265,-0.1038385998082697,-0.20170125499333935,-1,1.503272951906848,1
6046,2003-12-11,-0.0962199009910296,-0.09530294926444864,-0.09675824254626704,-0.09156539899816007,-0.2032701833463194,1,1.4657850396527359,1
6047,2003-12-12,-0.08403602527922123,-0.09416833127032437,-0.08803683935022365,-0.08860812281611884,-0.32121031470826705,1,1.510700611970224,-1
6048,2003-12-15,-0.08110027233221473,-0.08610551490499803,-0.08767133234782845,-0.09476490940671667,-0.1601517041282129,-1,1.466032191990581,1
6049,2003-12-16,-0.08721224945738185,-0.09298350894017672,-0.08763072045867346,-0.08760890663174313,-0.14549033917450288,1,1.5315688086502872,1
6050,2003-12-17,-0.08010832850370403,-0.09238105690789837,-0.0844832990491583,-0.08624633910759455,-0.20294557748018566,1,1.52210641094966,1
6051,2003-12-18,-0.07875567782846224,-0.07936809301068419,-0.07906161184696152,-0.0734281112878255,-0.1281780263140335,1,1.540586932275485,-1
6052,2003-12-19,-0.06603074184655718,-0.07780171772676031,-0.07123367021232897,-0.07395295211194201,-0.0863038695827732,-1,1.5294171677227248,1
6053,2003-12-22,-0.06655176284739106,-0.07591403469228777,-0.06925384061602109,-0.06963310840575218,-0.3057374350892225,1,1.4811144965856369,1
6054,2003-12-23,-0.06226335922514279,-0.07188764694322693,-0.06357832910660538,-0.06652443583213899,-0.3633008753502832,1,1.4680216585168673,-1
6055,2003-12-24,-0.05917731175866511,-0.07243989463948211,-0.06256303187772956,-0.06852286820089039,-0.7026438478065585,-1,1.4747493165585932,1
6056,2003-12-26,-0.06116119941568654,-0.07036143512812157,-0.0612329925079023,-0.066655646038168,-0.7902820215649159,1,1.4570548944437904,1
6057,2003-12-29,-0.05930756700887346,-0.05930644033581234,-0.05935469263448191,-0.052939132961738106,-0.4100982210512395,1,1.5291134664694879,1
6058,2003-12-30,-0.045690883544772035,-0.05903533692128706,-0.048673765786708366,-0.052777643477394484,-0.4350928727435421,1,1.4839288204485552,1
6059,2003-12-31,-0.04553056939066921,-0.05621385323678312,-0.048876825232483566,-0.05047641832549896,-0.4270318270678861,1,1.4634556560503957,-1
6060,2004-01-02,-0.04324609269470519,-0.04989814776506425,-0.05002411110111335,-0.05394844223888527,-0.3590268981128548,-1,1.4516038348292493,1
6061,2004-01-05,-0.04669284700791417,-0.04651437551710026,-0.046572100522935485,-0.040080532770883213,-0.12909774293474593,1,1.2601843864763465,1
6062,2004-01-06,-0.032925869024341324,-0.04426522126326077,-0.03645974012333235,-0.038617034319019784,-0.17438026126041115,1,1.2918414499912263,1
6063,2004-01-07,-0.031473022002785185,-0.0423875790959931,-0.038480181608795225,-0.03593227164180846,-0.060551804202825,1,1.25391450816053,1
6064,2004-01-08,-0.02880779919082728,-0.03677473432859888,-0.029890767052505807,-0.030290232782555663,0.027903294318635717,1,1.1871684855502032,-1
6065,2004-01-09,-0.023206823431862644,-0.03677473432859888,-0.03396210894029781,-0.04044388411065632,-0.05200384972796825,-1,1.2358225114610297,1
