,Date,Open,High,Low,Close,Volume,up/down,true_value
9915,2019-04-29,1.7890044138147774,1.7882532887868683,1.8123051369089258,1.7976798921514467,0.7043710991459388,1,1
9916,2019-04-30,1.7855576595015683,1.786947976050265,1.7968320071408586,1.8005059581274585,1.1374764760349625,1,-1
9917,2019-05-01,1.8007774845066973,1.7928821285682077,1.7960705342192016,1.7782002231025062,0.9895211222511762,-1,-1
9918,2019-05-02,1.7705482468236993,1.7703403816937895,1.7728608395671004,1.7719324124914224,1.0614970629685776,-1,1
9919,2019-05-03,1.7776120892388514,1.7865764639636932,1.802010023008125,1.8003141893648005,0.8230361836089186,1,-1
9920,2019-05-06,1.7572521916678032,1.776003430797207,1.7705358089129748,1.7870215861847722,0.7383140525479965,1,-1
9921,2019-05-07,1.761400320405212,1.7516141643571352,1.734381074592707,1.7381508309853069,1.0551185576990483,-1,-1
9922,2019-05-08,1.727914701467002,1.7364825774797417,1.745224448997101,1.7334777290321155,0.9029270973622159,-1,-1
9923,2019-05-09,1.7081058838006822,1.714402710496737,1.707780287196161,1.7246967383209348,0.9857178235196418,1,1
9924,2019-05-10,1.7113722846905253,1.7298054007886556,1.696601864706238,1.735476161400867,0.9266287356877522,1,-1
9925,2019-05-13,1.6884173017499393,1.6784764876385332,1.6722753431023734,1.6652988873608243,1.1237889286796539,-1,1
9926,2019-05-14,1.6683078950446766,1.6908769586362642,1.6912512483100623,1.6880487184677213,0.8147046330448177,1,1
9927,2019-05-15,1.6685684055450938,1.6970420510999134,1.6861341502765284,1.7047527870045072,0.7082501392462377,1,1
9928,2019-05-16,1.704057951409588,1.7306488336338455,1.7274770534363517,1.7303488702729592,0.8230037230223052,1,-1
9929,2019-05-17,1.7068634491063857,1.7239515752083503,1.7258830367870166,1.7134025675096585,0.7796634297956739,1,-1
9930,2019-05-20,1.690170737810438,1.692202353107277,1.7025921183566053,1.693922898460718,0.7963914520971024,-1,1
9931,2019-05-21,1.7022744564451948,1.707283735648647,1.7256698243689526,1.7182775313182792,0.7584287960527544,1,-1
9932,2019-05-22,1.7043184619100047,1.7038597999318643,1.7227153094329242,1.7101122192661584,0.7442597499960141,1,-1
9933,2019-05-23,1.684920449263573,1.6749722249841135,1.6763974498516092,1.6757654245648403,1.1226798586370301,-1,1
9934,2019-05-24,1.6806220260066933,1.6796512691014762,1.691322319116084,1.6796209860035425,0.5791868468714385,-1,-1
9935,2019-05-28,1.6782373529644155,1.6787977953890818,1.6724276376867049,1.655730635413469,1.2468037317488267,-1,-1
9936,2019-05-29,1.6383792464006215,1.6301196711809844,1.636364280117036,1.6361803147151286,1.018843852158596,-1,1
9937,2019-05-30,1.635062747337621,1.6371181556226186,1.6472076545214296,1.6420746808936681,0.7882330246616063,1,-1
9938,2019-05-31,1.6142319269388963,1.6069754722742877,1.6205865611803059,1.6049320994946523,1.1708513691712863,-1,-1
9939,2019-06-03,1.5995832211077583,1.6010413197563453,1.598544458341412,1.5972512558955623,1.1631041091662262,-1,1
9940,2019-06-04,1.610715035183267,1.6426305917179662,1.6328919635942807,1.6566188275773588,1.0785605113316776,1,1
9941,2019-06-05,1.6662739092144983,1.6655137280773424,1.671757541515647,1.679711823838486,0.9370323536973405,1,1
9942,2019-06-06,1.6767143685004393,1.69043516047926,1.693616890853343,1.6972132467042176,0.8545716435038173,1,1
9943,2019-06-07,1.7011221984625813,1.7234394909809134,1.7245022325557453,1.7273411286270608,0.7592673612069334,1,1
9944,2019-06-10,1.734146914207746,1.7433204080461018,1.7576415341062523,1.7408557798480613,0.7532946132700715,1,-1
9945,2019-06-11,1.7516211570049447,1.7491842744936121,1.750554759448699,1.7398363774781422,0.9368105396888158,-1,-1
9946,2019-06-12,1.7310408274720053,1.7270542031745844,1.7466458651175267,1.7339016389285173,0.6585746215322285,-1,1
9947,2019-06-13,1.734557719227634,1.7337514616000793,1.754067687860609,1.7458114883988536,0.6778778503716517,1,-1
9948,2019-06-14,1.7351388580362568,1.7329582330909126,1.7516614334281733,1.741108107167348,0.5980897284759635,1,1
9949,2019-06-17,1.738074610983263,1.7357897576426213,1.75945891614594,1.743823149122874,0.5373938416067117,-1,1
9950,2019-06-18,1.7550679113181535,1.7694467445125766,1.7778764078777471,1.7721645536251662,0.8768666564094405,1,1
9951,2019-06-19,1.7689350856480408,1.7704006268970172,1.783958038278713,1.780955637429118,0.7958612625157505,1,1
9952,2019-06-20,1.7980421242523192,1.7968281893796314,1.8043350536622507,1.8089336905916373,1.1302323551224098,1,-1
9953,2019-06-21,1.8011582306226914,1.8029430775072577,1.8199401720700719,1.80517906008065,1.7221944327995469,-1,-1
9954,2019-06-24,1.799865697755238,1.7936753570773742,1.8170770338846423,1.800021489674428,0.7138225399482013,-1,-1
9955,2019-06-25,1.7942146238231167,1.785241028625476,1.7886080995869647,1.771791109192622,0.9528406593780566,-1,-1
9956,2019-06-26,1.7744659239645852,1.771254100609412,1.7855419019557592,1.768157595794892,0.898782962471241,-1,1
9957,2019-06-27,1.768043338165844,1.7679506552990853,1.7912072604928866,1.7794013011423115,0.706610879622262,1,1
9958,2019-06-28,1.7813494129563716,1.7826906483554974,1.801847575451505,1.7963980693694699,1.9497323247638034,1,1
9959,2019-07-01,1.819894947383449,1.816779392515252,1.8253720122445574,1.819178179754681,0.9177940460311439,-1,1
9960,2019-07-02,1.8131316940072397,1.8120401031946618,1.829128611991398,1.8279389842803189,0.752012420098843,1,1
9961,2019-07-03,1.8265780436826071,1.8347625856787635,1.8515057629158211,1.8509613288920457,0.07947234625175888,1,-1
9962,2019-07-05,1.832760158250194,1.8329451887147237,1.8413629435993515,1.845500965702679,0.3340120361805788,1,-1
9963,2019-07-08,1.8282713619353173,1.8196209579341656,1.8435153737245684,1.830906353555131,0.5884705746428652,-1,1
9964,2019-07-09,1.813993382585542,1.8207656167954946,1.8367636471525441,1.834620611695033,0.6553718436530416,1,1
9965,2019-07-10,1.837820073739062,1.8419317648628768,1.8582676424601339,1.8481857283798908,0.7235553058344464,1,1
9966,2019-07-11,1.8481603366786885,1.841279108494575,1.862511584876835,1.8550894038355772,0.7237608895496646,1,1
9967,2019-07-12,1.8519076800308403,1.8529164735847536,1.8757815196582417,1.869078430416837,0.6265630730336668,1,1
9968,2019-07-15,1.8663760324386127,1.8568123300601542,1.8827870705374847,1.8696133643337252,0.5724675054424688,-1,-1
9969,2019-07-16,1.8606948996025967,1.854020968977264,1.8750505056534512,1.8592578511501952,0.797354449499966,-1,-1
9970,2019-07-17,1.8536510964567074,1.844221082585535,1.8578919824854498,1.8394552031325677,0.7383573333301477,-1,1
9971,2019-07-18,1.8273695948184894,1.837212557276696,1.846561265411196,1.8502447193052711,0.8005626374769218,1,-1
9972,2019-07-19,1.8528094471476684,1.8449841884930875,1.849373638735182,1.8315724976780485,0.780967263357978,-1,1
9973,2019-07-22,1.8304356030157043,1.8296116208027828,1.8501757235459937,1.8400708817916276,0.6421225142170136,1,1
9974,2019-07-23,1.8432707549785547,1.844863698086632,1.8622679135419047,1.8607011634165154,0.8098030844661973,1,1
9975,2019-07-24,1.8473086677350177,1.858609645289785,1.870654268652419,1.874922331131519,0.8721923319371138,1,-1
9976,2019-07-25,1.8648330087053737,1.8553162408466626,1.8710806934885464,1.8588844067176507,0.9892073365805801,-1,1
9977,2019-07-26,1.8618170986813158,1.8670339328744783,1.8866655059517905,1.8812809795775465,0.7794686662759936,1,-1
9978,2019-07-29,1.8730591287377703,1.8646542473469785,1.8884016642131682,1.8763454572122964,0.7503190594971783,-1,-1
9979,2019-07-30,1.856216122922351,1.856199837160671,1.8748372932353872,1.86848293794332,0.9832886896214071,1,-1
9980,2019-07-31,1.8647929301668478,1.8564106953719686,1.8313216540057697,1.8353775936528933,1.5184014599429778,-1,-1
9981,2019-08-01,1.8288224418400456,1.8525851249670005,1.8182750846147155,1.8083079188398061,1.593531487659646,-1,-1
