Date,Open,High,Low,Close*,Adj Close**,Volume
2007-06-19,"1,531.02","1,535.85","1,525.67","1,533.70","1,533.70","2,873,590,000"
2007-06-20,"1,533.68","1,537.32","1,512.36","1,512.84","1,512.84","3,286,900,000"
2007-06-21,"1,512.50","1,522.90","1,504.75","1,522.19","1,522.19","3,161,110,000"
2007-06-22,"1,522.19","1,522.19","1,500.74","1,502.56","1,502.56","4,284,320,000"
2007-06-25,"1,502.56","1,514.29","1,492.68","1,497.74","1,497.74","3,287,250,000"
2007-06-26,"1,497.68","1,506.12","1,490.54","1,492.89","1,492.89","3,398,530,000"
2007-06-27,"1,492.62","1,506.80","1,484.18","1,506.34","1,506.34","3,398,150,000"
2007-06-28,"1,506.32","1,514.84","1,503.41","1,505.71","1,505.71","3,006,710,000"
2007-06-29,"1,505.70","1,517.53","1,493.61","1,503.35","1,503.35","3,165,410,000"
2007-07-02,"1,504.66","1,519.45","1,504.66","1,519.43","1,519.43","2,648,990,000"
2007-07-03,"1,519.12","1,526.01","1,519.12","1,524.87","1,524.87","1,560,790,000"
2007-07-05,"1,524.86","1,526.57","1,517.72","1,525.40","1,525.40","2,622,950,000"
2007-07-06,"1,524.96","1,532.40","1,520.47","1,530.44","1,530.44","2,441,520,000"
2007-07-09,"1,530.43","1,534.26","1,527.45","1,531.85","1,531.85","2,715,330,000"
2007-07-10,"1,531.85","1,531.85","1,510.01","1,510.12","1,510.12","3,244,280,000"
2007-07-11,"1,509.93","1,519.34","1,506.10","1,518.76","1,518.76","3,082,920,000"
2007-07-12,"1,518.74","1,547.92","1,518.74","1,547.70","1,547.70","3,489,600,000"
2007-07-13,"1,547.68","1,555.10","1,544.85","1,552.50","1,552.50","2,801,120,000"
2007-07-16,"1,552.50","1,555.90","1,546.69","1,549.52","1,549.52","2,704,110,000"
2007-07-17,"1,549.52","1,555.32","1,547.74","1,549.37","1,549.37","3,007,140,000"
2007-07-18,"1,549.20","1,549.20","1,533.67","1,546.17","1,546.17","3,609,220,000"
2007-07-19,"1,546.13","1,555.20","1,546.13","1,553.08","1,553.08","3,251,450,000"
2007-07-20,"1,553.19","1,553.19","1,529.20","1,534.10","1,534.10","3,745,780,000"
2007-07-23,"1,534.06","1,547.23","1,534.06","1,541.57","1,541.57","3,102,700,000"
2007-07-24,"1,541.57","1,541.57","1,508.62","1,511.04","1,511.04","4,115,830,000"
2007-07-25,"1,511.03","1,524.31","1,503.73","1,518.09","1,518.09","4,283,200,000"
2007-07-26,"1,518.09","1,518.09","1,465.30","1,482.66","1,482.66","4,472,550,000"
2007-07-27,"1,482.44","1,488.53","1,458.95","1,458.95","1,458.95","4,784,650,000"
2007-07-30,"1,458.93","1,477.88","1,454.32","1,473.91","1,473.91","4,128,780,000"
2007-07-31,"1,473.90","1,488.30","1,454.25","1,455.27","1,455.27","4,524,520,000"
2007-08-01,"1,455.18","1,468.38","1,439.59","1,465.81","1,465.81","5,256,780,000"
2007-08-02,"1,465.46","1,476.43","1,460.58","1,472.20","1,472.20","4,368,850,000"
2007-08-03,"1,472.18","1,473.23","1,432.80","1,433.06","1,433.06","4,272,110,000"
2007-08-06,"1,433.04","1,467.67","1,427.39","1,467.67","1,467.67","5,067,200,000"
2007-08-07,"1,467.62","1,488.30","1,455.80","1,476.71","1,476.71","4,909,390,000"
2007-08-08,"1,476.22","1,503.89","1,476.22","1,497.49","1,497.49","5,499,560,000"
2007-08-09,"1,497.21","1,497.21","1,453.09","1,453.09","1,453.09","5,889,600,000"
2007-08-10,"1,453.09","1,462.02","1,429.74","1,453.64","1,453.64","5,345,780,000"
2007-08-13,"1,453.42","1,466.29","1,451.54","1,452.92","1,452.92","3,696,280,000"
2007-08-14,"1,452.87","1,456.74","1,426.20","1,426.54","1,426.54","3,814,630,000"
2007-08-15,"1,426.15","1,440.78","1,404.36","1,406.70","1,406.70","4,290,930,000"
2007-08-16,"1,406.64","1,415.97","1,370.60","1,411.27","1,411.27","6,509,300,000"
2007-08-17,"1,411.26","1,450.33","1,411.26","1,445.94","1,445.94","3,570,040,000"
2007-08-20,"1,445.94","1,451.75","1,430.54","1,445.55","1,445.55","3,321,340,000"
2007-08-21,"1,445.55","1,455.32","1,439.76","1,447.12","1,447.12","3,012,150,000"
2007-08-22,"1,447.03","1,464.86","1,447.03","1,464.07","1,464.07","3,309,120,000"
2007-08-23,"1,464.05","1,472.06","1,453.88","1,462.50","1,462.50","3,084,390,000"
2007-08-24,"1,462.34","1,479.40","1,460.54","1,479.37","1,479.37","2,541,400,000"
2007-08-27,"1,479.36","1,479.36","1,465.98","1,466.79","1,466.79","2,406,180,000"
2007-08-28,"1,466.72","1,466.72","1,432.01","1,432.36","1,432.36","3,078,090,000"
2007-08-29,"1,432.01","1,463.76","1,432.01","1,463.76","1,463.76","2,824,070,000"
2007-08-30,"1,463.67","1,468.43","1,451.25","1,457.64","1,457.64","2,582,960,000"
2007-08-31,"1,457.61","1,481.47","1,457.61","1,473.99","1,473.99","2,731,610,000"
2007-09-04,"1,473.96","1,496.40","1,472.15","1,489.42","1,489.42","2,766,600,000"
2007-09-05,"1,488.76","1,488.76","1,466.34","1,472.29","1,472.29","2,991,600,000"
2007-09-06,"1,472.03","1,481.49","1,467.41","1,478.55","1,478.55","2,459,590,000"
2007-09-07,"1,478.55","1,478.55","1,449.07","1,453.55","1,453.55","3,191,080,000"
2007-09-10,"1,453.50","1,462.25","1,439.29","1,451.70","1,451.70","2,835,720,000"
2007-09-11,"1,451.69","1,472.48","1,451.69","1,471.49","1,471.49","3,015,330,000"
2007-09-12,"1,471.10","1,479.50","1,465.75","1,471.56","1,471.56","2,885,720,000"
2007-09-13,"1,471.47","1,489.58","1,471.47","1,483.95","1,483.95","2,877,080,000"
2007-09-14,"1,483.95","1,485.99","1,473.18","1,484.25","1,484.25","2,641,740,000"
2007-09-17,"1,484.24","1,484.24","1,471.82","1,476.65","1,476.65","2,598,390,000"
2007-09-18,"1,476.63","1,519.89","1,476.63","1,519.78","1,519.78","3,708,940,000"
2007-09-19,"1,519.75","1,538.74","1,519.75","1,529.03","1,529.03","3,846,750,000"
2007-09-20,"1,528.69","1,529.14","1,516.42","1,518.75","1,518.75","2,957,700,000"
2007-09-21,"1,518.75","1,530.89","1,518.75","1,525.75","1,525.75","3,679,460,000"
2007-09-24,"1,525.75","1,530.18","1,516.15","1,517.73","1,517.73","3,131,310,000"
2007-09-25,"1,516.34","1,518.27","1,507.13","1,517.21","1,517.21","3,187,770,000"
2007-09-26,"1,518.62","1,529.39","1,518.62","1,525.42","1,525.42","3,237,390,000"
2007-09-27,"1,527.32","1,532.46","1,525.81","1,531.38","1,531.38","2,872,180,000"
2007-09-28,"1,531.24","1,533.74","1,521.99","1,526.75","1,526.75","2,925,350,000"
2007-10-01,"1,527.29","1,549.02","1,527.25","1,547.04","1,547.04","3,281,990,000"
2007-10-02,"1,546.96","1,548.01","1,540.37","1,546.63","1,546.63","3,101,910,000"
2007-10-03,"1,545.80","1,545.84","1,536.34","1,539.59","1,539.59","3,065,320,000"
2007-10-04,"1,539.91","1,544.02","1,537.63","1,542.84","1,542.84","2,690,430,000"
2007-10-05,"1,543.84","1,561.91","1,543.84","1,557.59","1,557.59","2,919,030,000"
2007-10-08,"1,556.51","1,556.51","1,549.00","1,552.58","1,552.58","2,040,650,000"
2007-10-09,"1,553.18","1,565.26","1,551.82","1,565.15","1,565.15","2,932,040,000"
2007-10-10,"1,564.98","1,565.42","1,555.46","1,562.47","1,562.47","3,044,760,000"
2007-10-11,"1,564.72","1,576.09","1,546.72","1,554.41","1,554.41","3,911,260,000"
2007-10-12,"1,555.41","1,563.03","1,554.09","1,561.80","1,561.80","2,788,690,000"
2007-10-15,"1,562.25","1,564.74","1,540.81","1,548.71","1,548.71","3,139,290,000"
2007-10-16,"1,547.81","1,547.81","1,536.29","1,538.53","1,538.53","3,234,560,000"
2007-10-17,"1,544.44","1,550.66","1,526.01","1,541.24","1,541.24","3,638,070,000"
2007-10-18,"1,539.29","1,542.79","1,531.76","1,540.08","1,540.08","3,203,210,000"
2007-10-19,"1,540.00","1,540.00","1,500.26","1,500.63","1,500.63","4,160,970,000"
2007-10-22,"1,497.79","1,508.06","1,490.40","1,506.33","1,506.33","3,471,830,000"
2007-10-23,"1,509.30","1,520.01","1,503.61","1,519.59","1,519.59","3,309,120,000"
2007-10-24,"1,516.61","1,517.23","1,489.56","1,515.88","1,515.88","4,003,300,000"
2007-10-25,"1,516.15","1,523.24","1,500.46","1,514.40","1,514.40","4,183,960,000"
2007-10-26,"1,522.17","1,535.53","1,520.18","1,535.28","1,535.28","3,612,120,000"
2007-10-29,"1,536.92","1,544.67","1,536.43","1,540.98","1,540.98","3,124,480,000"
2007-10-30,"1,539.42","1,539.42","1,529.55","1,531.02","1,531.02","3,212,520,000"
2007-10-31,"1,532.15","1,552.76","1,529.40","1,549.38","1,549.38","3,953,070,000"
2007-11-01,"1,545.79","1,545.79","1,506.66","1,508.44","1,508.44","4,241,470,000"
2007-11-02,"1,511.07","1,513.15","1,492.53","1,509.65","1,509.65","4,285,990,000"
2007-11-05,"1,505.61","1,510.84","1,489.95","1,502.17","1,502.17","3,819,330,000"
2007-11-06,"1,505.33","1,520.77","1,499.07","1,520.27","1,520.27","3,879,160,000"
2007-11-07,"1,515.46","1,515.46","1,475.04","1,475.62","1,475.62","4,353,160,000"
